iter	Passed	Remaining
200	306	1217
201	307	1213
202	308	1209
203	308	1205
204	309	1201
205	310	1196
206	311	1192
207	311	1187
208	312	1182
209	313	1178
210	314	1174
211	314	1170
212	315	1165
213	316	1161
214	316	1157
215	317	1152
216	318	1148
217	318	1143
218	319	1139
219	320	1134
220	320	1130
221	321	1126
222	321	1121
223	322	1118
224	323	1114
225	324	1112
226	325	1108
227	326	1105
228	327	1101
229	328	1099
230	328	1094
231	329	1090
232	330	1086
233	330	1083
234	331	1079
235	332	1075
236	332	1071
237	333	1067
238	334	1064
239	334	1060
240	335	1056
241	336	1052
242	336	1048
243	337	1045
244	338	1043
245	339	1040
246	340	1036
247	340	1033
248	341	1030
249	342	1027
250	343	1023
251	343	1021
252	344	1018
253	345	1014
254	346	1010
255	346	1007
256	347	1004
257	347	1000
258	348	997
259	349	993
260	349	990
261	350	987
262	351	984
263	352	982
264	353	979
265	354	977
266	355	975
267	356	973
268	356	969
269	357	966
270	357	963
271	358	959
272	359	956
273	359	953
274	360	950
275	361	947
276	362	944
277	362	941
278	363	938
279	363	935
280	364	932
281	365	929
282	366	928
283	367	926
284	368	923
285	369	921
286	369	919
287	370	916
288	371	913
289	371	909
290	372	906
291	372	904
292	373	901
293	374	899
294	374	896
295	375	893
296	376	890
297	376	887
298	377	884
299	378	882
300	378	879
301	379	877
302	380	875
303	381	874
304	382	871
305	383	869
306	383	866
307	384	863
308	385	861
309	385	858
310	386	856
311	387	853
312	387	851
313	388	848
314	389	846
315	389	843
316	390	840
317	390	838
318	391	835
319	392	833
320	392	830
321	393	828
322	394	827
323	395	824
324	395	822
325	396	819
326	397	817
327	397	814
328	398	812
329	398	809
330	399	807
331	400	805
332	400	803
333	401	800
334	402	798
335	402	796
336	403	793
337	404	791
338	404	789
339	405	786
340	405	784
341	406	782
342	407	779
343	407	778
344	408	776
345	409	774
346	410	771
347	410	769
348	411	767
349	411	764
350	412	762
351	413	760
352	413	758
353	414	756
354	414	753
355	415	751
356	416	749
357	416	747
358	417	745
359	417	742
360	418	740
361	418	738
362	419	736
363	420	733
364	420	731
365	421	729
366	421	727
367	422	725
368	423	724
369	424	721
370	424	719
371	425	717
372	425	715
373	426	713
374	426	711
375	427	709
376	427	707
377	428	705
378	429	702
379	429	700
380	430	698
381	430	696
382	431	694
383	431	692
384	432	690
385	432	688
386	433	686
387	434	684
388	434	682
389	435	680
390	435	678
391	436	676
392	437	675
393	437	673
394	438	671
395	439	669
396	439	668
397	440	666
398	441	664
399	441	662
400	442	660
401	442	658
402	443	656
403	443	654
404	444	652
405	444	651
406	445	649
407	446	647
408	446	645
409	447	643
410	447	641
411	448	639
412	448	638
413	449	636
414	450	634
415	450	632
416	451	631
417	452	629
418	452	627
419	453	626
420	453	624
421	454	622
422	454	620
423	455	618
424	456	616
425	456	615
426	457	613
427	457	611
428	458	609
429	458	608
430	459	606
431	459	604
432	460	602
433	461	601
434	461	599
435	462	597
436	462	595
437	463	594
438	463	592
439	464	590
440	464	589
441	465	588
442	466	586
443	467	585
444	468	584
445	469	583
446	470	581
447	470	580
448	471	578
449	472	577
450	473	576
451	473	574
452	474	572
453	475	571
454	475	569
455	476	568
456	476	566
457	477	565
458	478	563
459	478	562
460	479	560
461	480	559
462	481	558
463	481	556
464	482	555
465	483	553
466	483	551
467	484	550
468	484	548
469	485	547
470	485	545
471	486	544
472	487	542
473	487	541
474	488	539
475	488	538
476	489	536
477	490	535
478	490	533
479	491	532
480	491	530
481	492	529
482	493	528
483	494	526
484	495	525
485	495	524
486	496	523
487	497	522
